ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0140068147,Miracle at Midway,Gordon William Prange,1983,Penguin Books,http://images.amazon.com/images/P/0140068147.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140068147.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140068147.01.LZZZZZZZ.jpg
0316728950,The Pursuit of Happiness,Peter Quennell,1988,Little Brown &amp; Co,http://images.amazon.com/images/P/0316728950.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316728950.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316728950.01.LZZZZZZZ.jpg
0520217500,"Hey, Waitress! The USA from the Other Side of the Tray",Alison Owings,2002,University of California Press,http://images.amazon.com/images/P/0520217500.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0520217500.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0520217500.01.LZZZZZZZ.jpg
0613226100,What We Keep (Ballantine Reader's Circle),Elizabeth Berg,1999,Sagebrush Bound,http://images.amazon.com/images/P/0613226100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0613226100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0613226100.01.LZZZZZZZ.jpg
0802775632,Outside Lies Magic: Regaining History and Awareness in Everyday Places,John Stilgoe,1999,Walker &amp; Company,http://images.amazon.com/images/P/0802775632.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802775632.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802775632.01.LZZZZZZZ.jpg
0192862081,The Art of Genes: How Organisms Make Themselves,Enrico Coen,2000,Oxford University Press,http://images.amazon.com/images/P/0192862081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0192862081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0192862081.01.LZZZZZZZ.jpg
0395957680,The Essential Earthman,Henry Mitchell,1999,Houghton Mifflin Company,http://images.amazon.com/images/P/0395957680.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395957680.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395957680.01.LZZZZZZZ.jpg
0060930470,Seek : Reports from the Edges of America &amp; Beyond,Denis Johnson,2002,Perennial,http://images.amazon.com/images/P/0060930470.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930470.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930470.01.LZZZZZZZ.jpg
067974343X,Of Time Work and Leisure,Sebastian De Grazia,1994,Vintage Books USA,http://images.amazon.com/images/P/067974343X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067974343X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067974343X.01.LZZZZZZZ.jpg
0374522995,Rudeness and Civility : Manners in Nineteenth-Century Urban America,John F. Kasson,1991,Noonday Press,http://images.amazon.com/images/P/0374522995.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374522995.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374522995.01.LZZZZZZZ.jpg
0142301639,Secret of Platform 13/Island of the Aunts Flip Book,Eva Ibbotson,2002,Puffin Books,http://images.amazon.com/images/P/0142301639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142301639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142301639.01.LZZZZZZZ.jpg
1580081614,Yawn: Bedtime Reading for Insomniacs,Ellen Sue Stern,2000,Ten Speed Press,http://images.amazon.com/images/P/1580081614.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1580081614.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1580081614.01.LZZZZZZZ.jpg
0679755489,Death of Virgil,HERMANN BROCH,1995,Vintage,http://images.amazon.com/images/P/0679755489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679755489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679755489.01.LZZZZZZZ.jpg
2060000262,"Michelin THE GREEN GUIDE Europe, 2e (THE GREEN GUIDE)",Michelin Staff,2000,Michelin Travel Publications,http://images.amazon.com/images/P/2060000262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2060000262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2060000262.01.LZZZZZZZ.jpg
0441116086,Conan 10/Avenger,L. Sprague de Camp,1983,Ace Books,http://images.amazon.com/images/P/0441116086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441116086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441116086.01.LZZZZZZZ.jpg
1899434054,The Mystic Vision,Anne Baring,1995,Godsfield Press,http://images.amazon.com/images/P/1899434054.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1899434054.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1899434054.01.LZZZZZZZ.jpg
068485175X,Mandy: The Unauthorised Biog of Peter Mandelson,Paul Routledge,1999,Simon &amp; Schuster (Trade Division),http://images.amazon.com/images/P/068485175X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068485175X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068485175X.01.LZZZZZZZ.jpg
0684840499,Now and Then: A Memoir from Coney Island to Here,Joseph Heller,1999,Simon &amp; Schuster (Trade Division),http://images.amazon.com/images/P/0684840499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684840499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684840499.01.LZZZZZZZ.jpg
085124582X,Portraits from Memory,Bertrand Russell,1995,Spokesman Books,http://images.amazon.com/images/P/085124582X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/085124582X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/085124582X.01.LZZZZZZZ.jpg
0385313306,"Wrestling With Angels: What the First Family of Genesis Teaches Us About Our Spiritual Identity, Sexuality, and Personal Relationships",Naomi H. Rosenblatt,1995,Delacorte Press,http://images.amazon.com/images/P/0385313306.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385313306.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385313306.01.LZZZZZZZ.jpg
0747257426,Changeling,Gordon,1998,Trafalgar Square,http://images.amazon.com/images/P/0747257426.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0747257426.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0747257426.01.LZZZZZZZ.jpg
1573455687,What I Wish I'd Known in High School,John Bytheway,1999,Deseret Book Company,http://images.amazon.com/images/P/1573455687.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573455687.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573455687.01.LZZZZZZZ.jpg
1885061803,Byway Eateries of Minnesota,George Warner,2000,Adventure Pubns,http://images.amazon.com/images/P/1885061803.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1885061803.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1885061803.01.LZZZZZZZ.jpg
1897913427,A Cause Worth Living for: My Journey Out of Terrorism,"David \Packie\"" Hamilton""",1997,Highland Books,http://images.amazon.com/images/P/1897913427.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1897913427.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1897913427.01.LZZZZZZZ.jpg
0747278628,Eva Fairdeath,Tanith Lee,1994,Headline,http://images.amazon.com/images/P/0747278628.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0747278628.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0747278628.01.LZZZZZZZ.jpg
0821754815,Winds of Destiny (Tates of Texas),Victoria Thompson,1996,Kensington Publishing Corporation,http://images.amazon.com/images/P/0821754815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821754815.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821754815.01.LZZZZZZZ.jpg
0505521830,"Love, Remember Me (Angel's Touch)",Corinne Everett,1997,Love Spell,http://images.amazon.com/images/P/0505521830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0505521830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0505521830.01.LZZZZZZZ.jpg
0871564378,Material World: A Global Family Portrait,Peter Menzel,1994,Sierra Club Books,http://images.amazon.com/images/P/0871564378.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0871564378.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0871564378.01.LZZZZZZZ.jpg
3492235638,Fallende Schatten.,Gemma OConnor,2002,Piper,http://images.amazon.com/images/P/3492235638.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3492235638.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3492235638.01.LZZZZZZZ.jpg
0373077963,"Reckless (Silhouette Intimate Moments , Vol 796)",Ruth Wind,1997,Silhouette,http://images.amazon.com/images/P/0373077963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373077963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373077963.01.LZZZZZZZ.jpg
0553480804,Encyclopedia Brown Solves Them All (Encyclopedia Brown (Paperback)),Donald J. Sobol,1993,Yearling Books,http://images.amazon.com/images/P/0553480804.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553480804.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553480804.01.LZZZZZZZ.jpg
039561211X,Tell Me a Story: Creating Bedtime Tales Your Children Will Dream on,Chase Collins,1992,Houghton Mifflin Company,http://images.amazon.com/images/P/039561211X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039561211X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039561211X.01.LZZZZZZZ.jpg
0373708394,"Her Brother'S Keeper  (Family Man) (Harlequin Superromance, 839)",K.N. Casper,1999,Harlequin,http://images.amazon.com/images/P/0373708394.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373708394.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373708394.01.LZZZZZZZ.jpg
3446200770,Grammatik der SchÃ?Â¶pfung.,George Steiner,2001,Carl Hanser Verlag,http://images.amazon.com/images/P/3446200770.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3446200770.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3446200770.01.LZZZZZZZ.jpg
0906515459,Ovid: Amores I,J. Barsby,1979,Focus Publishing/R. Pullins Company,http://images.amazon.com/images/P/0906515459.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0906515459.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0906515459.01.LZZZZZZZ.jpg
0373244312,"Baby Be Mine (A Ranching Family) (Silhouette Special Edition, No. 1431)",Victoria Pade,2001,Silhouette,http://images.amazon.com/images/P/0373244312.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373244312.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373244312.01.LZZZZZZZ.jpg
286260478X,"Les Turcs : Orient et occident, islam et laÃ?Â¯citÃ?Â©",StÃ?Â©phane YÃ?Â©rasimos,1994,Autrement,http://images.amazon.com/images/P/286260478X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/286260478X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/286260478X.01.LZZZZZZZ.jpg
0373094698,"One Lavender Evening (Silhouette Special, No 469)",Karen Keast,1988,Silhouette,http://images.amazon.com/images/P/0373094698.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373094698.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373094698.01.LZZZZZZZ.jpg
2253098086,Candide,Voltaire,1995,Distribooks Intl,http://images.amazon.com/images/P/2253098086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2253098086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2253098086.01.LZZZZZZZ.jpg
1565073061,"The Legend of Robin Brodie (Samson, Lisa, Highlanders, Book 2.)",Lisa Samson,1995,Harvest House Pub,http://images.amazon.com/images/P/1565073061.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565073061.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565073061.01.LZZZZZZZ.jpg
0449205835,"Daphne (Six Sisters, Vol 4)",Marion Chesney,1986,Fawcett Books,http://images.amazon.com/images/P/0449205835.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449205835.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449205835.01.LZZZZZZZ.jpg
0373761252,"Her Torrid Temporary Marriage (Harlequin Desire, No 1125)",Sara Orwig,1998,Silhouette,http://images.amazon.com/images/P/0373761252.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373761252.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373761252.01.LZZZZZZZ.jpg
0688100872,Memories of Midnight,Sidney Sheldon,1990,Harpercollins Childrens Books,http://images.amazon.com/images/P/0688100872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688100872.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688100872.01.LZZZZZZZ.jpg
3499264544,Das Bild der alten Dame.,Petra Oelker,2003,Wunderlich im Rowohlt,http://images.amazon.com/images/P/3499264544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3499264544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3499264544.01.LZZZZZZZ.jpg
0425057399,More Tests and Teasers,Reader's Digest Editors,1982,Berkley Publishing Group,http://images.amazon.com/images/P/0425057399.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425057399.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425057399.01.LZZZZZZZ.jpg
0876055528,"The Koehler Method of Guard Dog Training; An Effective and Authoritative Guide for Selecting, Training and Maintaining Dogs in Home Protection and Po",William R. Koehler,1972,Howell Books,http://images.amazon.com/images/P/0876055528.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0876055528.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0876055528.01.LZZZZZZZ.jpg
0345258495,Band of Brothers,Ernest K. Gann,1977,Ballantine Books,http://images.amazon.com/images/P/0345258495.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345258495.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345258495.01.LZZZZZZZ.jpg
3446201262,SchluÃ?Â? mit cool. ErzÃ?Â¤hlungen.,Tom Coraghessan Boyle,2002,Hanser Belletristik,http://images.amazon.com/images/P/3446201262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3446201262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3446201262.01.LZZZZZZZ.jpg
0684192640,Friends in High Places,Michael Hendricks,1990,Scribner Book Company,http://images.amazon.com/images/P/0684192640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684192640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684192640.01.LZZZZZZZ.jpg
1865084530,Finding Grace,Alyssa Brugman,2002,Allen &amp; Unwin (Australia) Pty Ltd,http://images.amazon.com/images/P/1865084530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1865084530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1865084530.01.LZZZZZZZ.jpg
8408029487,Afueras De Dios,Antonio Gaka,1999,Planeta Pub Corp,http://images.amazon.com/images/P/8408029487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8408029487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8408029487.01.LZZZZZZZ.jpg
0060928697,A Simple Habana Melody,Oscar Hijuelos,2003,Perennial,http://images.amazon.com/images/P/0060928697.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060928697.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060928697.01.LZZZZZZZ.jpg
0590206400,Shiloh Season,Phyllis Reyn Naylor,1996,Scholastic Inc,http://images.amazon.com/images/P/0590206400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590206400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590206400.01.LZZZZZZZ.jpg
0671605224,Feed Your Kids Bright,Francine Prince,1987,Simon &amp; Schuster,http://images.amazon.com/images/P/0671605224.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671605224.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671605224.01.LZZZZZZZ.jpg
0876052693,Complete Rottweiler,Muriel Freeman,1984,Howell Books,http://images.amazon.com/images/P/0876052693.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0876052693.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0876052693.01.LZZZZZZZ.jpg
0671454617,IN FRAME,Dick Francis,1982,Pocket,http://images.amazon.com/images/P/0671454617.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671454617.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671454617.01.LZZZZZZZ.jpg
0525248358,People in Trouble,Sarah Schulman,1990,Penguin USA,http://images.amazon.com/images/P/0525248358.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525248358.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525248358.01.LZZZZZZZ.jpg
0671530267,RAT RACE,Dick Francis,1984,Pocket,http://images.amazon.com/images/P/0671530267.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671530267.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671530267.01.LZZZZZZZ.jpg
0889626154,The Hero of the Slocum Disaster,Eric Blau,1997,Mosaic Press,http://images.amazon.com/images/P/0889626154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0889626154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0889626154.01.LZZZZZZZ.jpg
0805039759,Music to My Ears: The Billboard Essays : Profiles of Popular Music in the '90s,Timothy White,1996,Henry Holt &amp; Co,http://images.amazon.com/images/P/0805039759.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805039759.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805039759.01.LZZZZZZZ.jpg
0195107918,Enchanted Evenings: The Broadway Musical from Show Boat to Sondheim,Geoffrey Block,1997,Oxford University Press,http://images.amazon.com/images/P/0195107918.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195107918.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195107918.01.LZZZZZZZ.jpg
1568810970,Mobile Robots: Inspiration to Implementation,Joseph L. Jones,1998,"AK Peters, Ltd.",http://images.amazon.com/images/P/1568810970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1568810970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1568810970.01.LZZZZZZZ.jpg
1893115844,Extreme Mindstorms: an Advanced Guide to Lego Mindstorms,Dave Baum,2000,APress,http://images.amazon.com/images/P/1893115844.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1893115844.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1893115844.01.LZZZZZZZ.jpg
0452270324,A Member of the Family: Gay Men Write About Their Families,John Preston,1994,Penguin USA,http://images.amazon.com/images/P/0452270324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452270324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452270324.01.LZZZZZZZ.jpg
1893115097,Dave Baum's Definitive Guide to LEGO Mindstorms (Technology In Action),Dave Baum,2000,Apress,http://images.amazon.com/images/P/1893115097.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1893115097.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1893115097.01.LZZZZZZZ.jpg
0942637984,We Danced All Night: My Life Behind the Scenes With Alan Jay Lerner,Doris Shapiro,1993,"Barricade Books, Inc.",http://images.amazon.com/images/P/0942637984.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0942637984.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0942637984.01.LZZZZZZZ.jpg
019866253X,Oxford Reader's Companion to Dickens,Paul Schlicke,2000,Oxford University Press,http://images.amazon.com/images/P/019866253X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/019866253X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/019866253X.01.LZZZZZZZ.jpg
0435080164,Decolonising the Mind: The Politics of Language in African Literature (Studies in African Literature Series),Ngugi Wa Thiongo,1986,Heinemann,http://images.amazon.com/images/P/0435080164.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0435080164.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0435080164.01.LZZZZZZZ.jpg
0028604342,Dinosaur!: The Definitive Account of the 'Terrible Lizards'- From Their First Days on Earth to Their Disappearance 65 Million Years Ago (Macmillan Reference Books.),David Norman,1995,John Wiley &amp; Sons Inc,http://images.amazon.com/images/P/0028604342.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0028604342.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0028604342.01.LZZZZZZZ.jpg
1567512267,Tinderbox,Stephen Zunes,2002,Common Courage Press,http://images.amazon.com/images/P/1567512267.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567512267.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567512267.01.LZZZZZZZ.jpg
0807031429,In Schools We Trust: Creating Communities of Learning in an Era of Testing and Standardization,Deborah Meier,2002,Beacon Press,http://images.amazon.com/images/P/0807031429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0807031429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0807031429.01.LZZZZZZZ.jpg
0739433598,Adventures of a Scottish Heiress,Cathy Maxwell,2003,AVON Books,http://images.amazon.com/images/P/0739433598.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0739433598.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0739433598.01.LZZZZZZZ.jpg
0930330641,Abandoned,Paul Gallico,1987,International Polygonics,http://images.amazon.com/images/P/0930330641.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0930330641.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0930330641.01.LZZZZZZZ.jpg
0446605107,Leonard Nimoy's Primortals(TM) : Target Earth,Steve Perry,1998,Warner Books,http://images.amazon.com/images/P/0446605107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605107.01.LZZZZZZZ.jpg
0935028870,Sustainable Agriculture and Resistance,Fernando Funes,2002,Food First,http://images.amazon.com/images/P/0935028870.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0935028870.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0935028870.01.LZZZZZZZ.jpg
089608521X,"Triumph of the Market: Essays on Economics, Politics, and the Media",Edward S. Herman,1995,South End Press,http://images.amazon.com/images/P/089608521X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/089608521X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/089608521X.01.LZZZZZZZ.jpg
088295055X,Communist Manifesto (Yu Liang Ts'ung Shu),Karl Marx,1955,Harlan Davidson Inc,http://images.amazon.com/images/P/088295055X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/088295055X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/088295055X.01.LZZZZZZZ.jpg
0553492217,"Breaking Away (Sweet Valley University, No 37)",Laurie John,1998,Sweet Valley,http://images.amazon.com/images/P/0553492217.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553492217.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553492217.01.LZZZZZZZ.jpg
1560254424,Pity the Nation: The Abduction of Lebanon,Robert Fisk,2002,Nation Books,http://images.amazon.com/images/P/1560254424.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1560254424.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1560254424.01.LZZZZZZZ.jpg
0786881410,Four Rooms: Four Friends Telling Four Stories Making One Film,Allison Anders,1995,Hyperion Books,http://images.amazon.com/images/P/0786881410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786881410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786881410.01.LZZZZZZZ.jpg
0761919244,News for a Change : An Advocate's Guide to Working with the Media,Lawrence Wallack,1999,SAGE Publications,http://images.amazon.com/images/P/0761919244.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0761919244.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0761919244.01.LZZZZZZZ.jpg
1556113331,The Wrong Gun,J. P. Hailey,1992,Penguin USA,http://images.amazon.com/images/P/1556113331.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556113331.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556113331.01.LZZZZZZZ.jpg
0875962521,Men's Health Advisor 1995,Men's Health Magazine,1995,Rodale Press,http://images.amazon.com/images/P/0875962521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875962521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875962521.01.LZZZZZZZ.jpg
156338082X,"Images of Jesus Today (Faith and Scholarship Colloquies, No 3)",James H. Charlesworth,1994,Morehouse Pub Co,http://images.amazon.com/images/P/156338082X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/156338082X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/156338082X.01.LZZZZZZZ.jpg
0060650133,What God Wants to Know: Finding Your Answers in God's Vital Questions,Bruce Larson,1994,Harpercollins,http://images.amazon.com/images/P/0060650133.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060650133.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060650133.01.LZZZZZZZ.jpg
1556343159,Gurps Ultra-Tech: A Sourcebook of Weapons and Equipment for Future Ages (GURPS: Generic Universal Role Playing System),David L. Pulver,1996,Steve Jackson Games,http://images.amazon.com/images/P/1556343159.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556343159.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556343159.01.LZZZZZZZ.jpg
1556342330,"Gurps Robots: Bold Experiments, Faithful Servants, Soulless Killers (Steve Jackson Games)",David Pulver,1997,Steve Jackson Games,http://images.amazon.com/images/P/1556342330.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556342330.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556342330.01.LZZZZZZZ.jpg
1565480244,Be Filled With the Fullness of God: Living in the Indwelling Trinity,George A. Maloney,1993,Faithworks,http://images.amazon.com/images/P/1565480244.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565480244.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565480244.01.LZZZZZZZ.jpg
1556343256,Gurps Vehicles: From Chariots to Cybertanks...and Beyond! (GURPS: Generic Universal Role Playing System),David L. Pulver,1998,Steve Jackson Games,http://images.amazon.com/images/P/1556343256.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556343256.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556343256.01.LZZZZZZZ.jpg
0062509284,"The crone: Woman of age, wisdom, and power",Barbara G Walker,1985,Harper &amp; Row,http://images.amazon.com/images/P/0062509284.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062509284.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062509284.01.LZZZZZZZ.jpg
1556342403,Gurps Autoduel (Steve Jackson Games),Chris Burke,1997,Steve Jackson Games,http://images.amazon.com/images/P/1556342403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556342403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556342403.01.LZZZZZZZ.jpg
055313390X,Runaways,Elizabeth Swados,1979,Bantam Books,http://images.amazon.com/images/P/055313390X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055313390X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055313390X.01.LZZZZZZZ.jpg
